date,week
2013-01-01,1
2013-01-02,1
2013-01-03,1
2013-01-04,1
2013-01-05,1
2013-01-06,1
2013-01-07,2
2013-01-08,2
2013-01-09,2
2013-01-10,2
2013-01-11,2
2013-01-12,2
2013-01-13,2
2013-01-14,3
2013-01-15,3
2013-01-16,3
2013-01-17,3
2013-01-18,3
2013-01-19,3
2013-01-20,3
2013-01-21,4
2013-01-22,4
2013-01-23,4
2013-01-24,4
2013-01-25,4
2013-01-26,4
2013-01-27,4
2013-01-28,5
2013-01-29,5
2013-01-30,5
2013-01-31,5
2013-02-01,5
2013-02-02,5
2013-02-03,5
2013-02-04,6
2013-02-05,6
2013-02-06,6
2013-02-07,6
2013-02-08,6
2013-02-09,6
2013-02-10,6
2013-02-11,7
2013-02-12,7
2013-02-13,7
2013-02-14,7
2013-02-15,7
2013-02-16,7
2013-02-17,7
2013-02-18,8
2013-02-19,8
2013-02-20,8
2013-02-21,8
2013-02-22,8
2013-02-23,8
2013-02-24,8
2013-02-25,9
2013-02-26,9
2013-02-27,9
2013-02-28,9
2013-03-01,9
2013-03-02,9
2013-03-03,9
2013-03-04,10
2013-03-05,10
2013-03-06,10
2013-03-07,10
2013-03-08,10
2013-03-09,10
2013-03-10,10
2013-03-11,11
2013-03-12,11
2013-03-13,11
2013-03-14,11
2013-03-15,11
2013-03-16,11
2013-03-17,11
2013-03-18,12
2013-03-19,12
2013-03-20,12
2013-03-21,12
2013-03-22,12
2013-03-23,12
2013-03-24,12
2013-03-25,13
2013-03-26,13
2013-03-27,13
2013-03-28,13
2013-03-29,13
2013-03-30,13
2013-03-31,13
2013-04-01,14
2013-04-02,14
2013-04-03,14
2013-04-04,14
2013-04-05,14
2013-04-06,14
2013-04-07,14
2013-04-08,15
2013-04-09,15
2013-04-10,15
2013-04-11,15
2013-04-12,15
2013-04-13,15
2013-04-14,15
2013-04-15,16
2013-04-16,16
2013-04-17,16
2013-04-18,16
2013-04-19,16
2013-04-20,16
2013-04-21,16
2013-04-22,17
2013-04-23,17
2013-04-24,17
2013-04-25,17
2013-04-26,17
2013-04-27,17
2013-04-28,17
2013-04-29,18
2013-04-30,18
2013-05-01,18
2013-05-02,18
2013-05-03,18
2013-05-04,18
2013-05-05,18
2013-05-06,19
2013-05-07,19
2013-05-08,19
2013-05-09,19
2013-05-10,19
2013-05-11,19
2013-05-12,19
2013-05-13,20
2013-05-14,20
2013-05-15,20
2013-05-16,20
2013-05-17,20
2013-05-18,20
2013-05-19,20
2013-05-20,21
2013-05-21,21
2013-05-22,21
2013-05-23,21
2013-05-24,21
2013-05-25,21
2013-05-26,21
2013-05-27,22
2013-05-28,22
2013-05-29,22
2013-05-30,22
2013-05-31,22
2013-06-01,22
2013-06-02,22
2013-06-03,23
2013-06-04,23
2013-06-05,23
2013-06-06,23
2013-06-07,23
2013-06-08,23
2013-06-09,23
2013-06-10,24
2013-06-11,24
2013-06-12,24
2013-06-13,24
2013-06-14,24
2013-06-15,24
2013-06-16,24
2013-06-17,25
2013-06-18,25
2013-06-19,25
2013-06-20,25
2013-06-21,25
2013-06-22,25
2013-06-23,25
2013-06-24,26
2013-06-25,26
2013-06-26,26
2013-06-27,26
2013-06-28,26
2013-06-29,26
2013-06-30,26
2013-07-01,27
2013-07-02,27
2013-07-03,27
2013-07-04,27
2013-07-05,27
2013-07-06,27
2013-07-07,27
2013-07-08,28
2013-07-09,28
2013-07-10,28
2013-07-11,28
2013-07-12,28
2013-07-13,28
2013-07-14,28
2013-07-15,29
2013-07-16,29
2013-07-17,29
2013-07-18,29
2013-07-19,29
2013-07-20,29
2013-07-21,29
2013-07-22,30
2013-07-23,30
2013-07-24,30
2013-07-25,30
2013-07-26,30
2013-07-27,30
2013-07-28,30
2013-07-29,31
2013-07-30,31
2013-07-31,31
2013-08-01,31
2013-08-02,31
2013-08-03,31
2013-08-04,31
2013-08-05,32
2013-08-06,32
2013-08-07,32
2013-08-08,32
2013-08-09,32
2013-08-10,32
2013-08-11,32
2013-08-12,33
2013-08-13,33
2013-08-14,33
2013-08-15,33
2013-08-16,33
2013-08-17,33
2013-08-18,33
2013-08-19,34
2013-08-20,34
2013-08-21,34
2013-08-22,34
2013-08-23,34
2013-08-24,34
2013-08-25,34
2013-08-26,35
2013-08-27,35
2013-08-28,35
2013-08-29,35
2013-08-30,35
2013-08-31,35
2013-09-01,35
2013-09-02,36
2013-09-03,36
2013-09-04,36
2013-09-05,36
2013-09-06,36
2013-09-07,36
2013-09-08,36
2013-09-09,37
2013-09-10,37
2013-09-11,37
2013-09-12,37
2013-09-13,37
2013-09-14,37
2013-09-15,37
2013-09-16,38
2013-09-17,38
2013-09-18,38
2013-09-19,38
2013-09-20,38
2013-09-21,38
2013-09-22,38
2013-09-23,39
2013-09-24,39
2013-09-25,39
2013-09-26,39
2013-09-27,39
2013-09-28,39
2013-09-29,39
2013-09-30,40
2013-10-01,40
2013-10-02,40
2013-10-03,40
2013-10-04,40
2013-10-05,40
2013-10-06,40
2013-10-07,41
2013-10-08,41
2013-10-09,41
2013-10-10,41
2013-10-11,41
2013-10-12,41
2013-10-13,41
2013-10-14,42
2013-10-15,42
2013-10-16,42
2013-10-17,42
2013-10-18,42
2013-10-19,42
2013-10-20,42
2013-10-21,43
2013-10-22,43
2013-10-23,43
2013-10-24,43
2013-10-25,43
2013-10-26,43
2013-10-27,43
2013-10-28,44
2013-10-29,44
2013-10-30,44
2013-10-31,44
2013-11-01,44
2013-11-02,44
2013-11-03,44
2013-11-04,45
2013-11-05,45
2013-11-06,45
2013-11-07,45
2013-11-08,45
2013-11-09,45
2013-11-10,45
2013-11-11,46
2013-11-12,46
2013-11-13,46
2013-11-14,46
2013-11-15,46
2013-11-16,46
2013-11-17,46
2013-11-18,47
2013-11-19,47
2013-11-20,47
2013-11-21,47
2013-11-22,47
2013-11-23,47
2013-11-24,47
2013-11-25,48
2013-11-26,48
2013-11-27,48
2013-11-28,48
2013-11-29,48
2013-11-30,48
2013-12-01,48
2013-12-02,49
2013-12-03,49
2013-12-04,49
2013-12-05,49
2013-12-06,49
2013-12-07,49
2013-12-08,49
2013-12-09,50
2013-12-10,50
2013-12-11,50
2013-12-12,50
2013-12-13,50
2013-12-14,50
2013-12-15,50
2013-12-16,51
2013-12-17,51
2013-12-18,51
2013-12-19,51
2013-12-20,51
2013-12-21,51
2013-12-22,51
2013-12-23,52
2013-12-24,52
2013-12-25,52
2013-12-26,52
2013-12-27,52
2013-12-28,52
2013-12-29,52
2013-12-30,53
2013-12-31,53
2014-01-01,53
2014-01-02,53
2014-01-03,53
2014-01-04,53
2014-01-05,53
2014-01-06,54
2014-01-07,54
2014-01-08,54
2014-01-09,54
2014-01-10,54
2014-01-11,54
2014-01-12,54
2014-01-13,55
2014-01-14,55
2014-01-15,55
2014-01-16,55
2014-01-17,55
2014-01-18,55
2014-01-19,55
2014-01-20,56
2014-01-21,56
2014-01-22,56
2014-01-23,56
2014-01-24,56
2014-01-25,56
2014-01-26,56
2014-01-27,57
2014-01-28,57
2014-01-29,57
2014-01-30,57
2014-01-31,57
2014-02-01,57
2014-02-02,57
2014-02-03,58
2014-02-04,58
2014-02-05,58
2014-02-06,58
2014-02-07,58
2014-02-08,58
2014-02-09,58
2014-02-10,59
2014-02-11,59
2014-02-12,59
2014-02-13,59
2014-02-14,59
2014-02-15,59
2014-02-16,59
2014-02-17,60
2014-02-18,60
2014-02-19,60
2014-02-20,60
2014-02-21,60
2014-02-22,60
2014-02-23,60
2014-02-24,61
2014-02-25,61
2014-02-26,61
2014-02-27,61
2014-02-28,61
2014-03-01,61
2014-03-02,61
2014-03-03,62
2014-03-04,62
2014-03-05,62
2014-03-06,62
2014-03-07,62
2014-03-08,62
2014-03-09,62
2014-03-10,63
2014-03-11,63
2014-03-12,63
2014-03-13,63
2014-03-14,63
2014-03-15,63
2014-03-16,63
2014-03-17,64
2014-03-18,64
2014-03-19,64
2014-03-20,64
2014-03-21,64
2014-03-22,64
2014-03-23,64
2014-03-24,65
2014-03-25,65
2014-03-26,65
2014-03-27,65
2014-03-28,65
2014-03-29,65
2014-03-30,65
2014-03-31,66
2014-04-01,66
2014-04-02,66
2014-04-03,66
2014-04-04,66
2014-04-05,66
2014-04-06,66
2014-04-07,67
2014-04-08,67
2014-04-09,67
2014-04-10,67
2014-04-11,67
2014-04-12,67
2014-04-13,67
2014-04-14,68
2014-04-15,68
2014-04-16,68
2014-04-17,68
2014-04-18,68
2014-04-19,68
2014-04-20,68
2014-04-21,69
2014-04-22,69
2014-04-23,69
2014-04-24,69
2014-04-25,69
2014-04-26,69
2014-04-27,69
2014-04-28,70
2014-04-29,70
2014-04-30,70
2014-05-01,70
2014-05-02,70
2014-05-03,70
2014-05-04,70
2014-05-05,71
