"dataid";"localminute";"use";"air1";"air2";"air3";"airwindowunit1";"aquarium1";"bathroom1";"bathroom2";"bedroom1";"bedroom2";"bedroom3";"bedroom4";"bedroom5";"car1";"clotheswasher1";"clotheswasher_dryg1";"diningroom1";"diningroom2";"dishwasher1";"disposal1";"drye1";"dryg1";"freezer1";"furnace1";"furnace2";"garage1";"garage2";"gen";"grid";"heater1";"housefan1";"icemaker1";"jacuzzi1";"kitchen1";"kitchen2";"kitchenapp1";"kitchenapp2";"lights_plugs1";"lights_plugs2";"lights_plugs3";"lights_plugs4";"lights_plugs5";"lights_plugs6";"livingroom1";"livingroom2";"microwave1";"office1";"outsidelights_plugs1";"outsidelights_plugs2";"oven1";"oven2";"pool1";"pool2";"poollight1";"poolpump1";"pump1";"range1";"refrigerator1";"refrigerator2";"security1";"shed1";"sprinkler1";"unknown1";"unknown2";"unknown3";"unknown4";"utilityroom1";"venthood1";"waterheater1";"waterheater2";"winecooler1"
3299;"2013-12-31 18:00:00-06";0.299;0;;;;;;;;;;;;;;;;;;;;;;0;;;;;0.299;;;;;;;0;0.028;;;;;;;;;0;;;;;;;;;;;0;0;;;;;;;;;;;0;;
3299;"2013-12-31 18:01:00-06";0.301;0;;;;;;;;;;;;;;;;;;;;;;0;;;;;0.301;;;;;;;0;0.028;;;;;;;;;0;;;;;;;;;;;0;0;;;;;;;;;;;0;;
3299;"2013-12-31 18:02:00-06";0.296;0;;;;;;;;;;;;;;;;;;;;;;0;;;;;0.296;;;;;;;0;0.028;;;;;;;;;0;;;;;;;;;;;0;0;;;;;;;;;;;0;;
3299;"2013-12-31 18:03:00-06";0.298;0;;;;;;;;;;;;;;;;;;;;;;0;;;;;0.298;;;;;;;0;0.028;;;;;;;;;0;;;;;;;;;;;0;0;;;;;;;;;;;0;;
3299;"2013-12-31 18:04:00-06";0.300;0;;;;;;;;;;;;;;;;;;;;;;0;;;;;0.300;;;;;;;0;0.028;;;;;;;;;0;;;;;;;;;;;0;0;;;;;;;;;;;0;;
3299;"2013-12-31 18:05:00-06";0.301;0;;;;;;;;;;;;;;;;;;;;;;0;;;;;0.301;;;;;;;0;0.028;;;;;;;;;0;;;;;;;;;;;0;0;;;;;;;;;;;0;;
3299;"2013-12-31 18:06:00-06";0.299;0;;;;;;;;;;;;;;;;;;;;;;0;;;;;0.299;;;;;;;0;0.028;;;;;;;;;0;;;;;;;;;;;0;0;;;;;;;;;;;0;;
3299;"2013-12-31 18:07:00-06";0.296;0;;;;;;;;;;;;;;;;;;;;;;0;;;;;0.296;;;;;;;0;0.027;;;;;;;;;0;;;;;;;;;;;0;0;;;;;;;;;;;0;;
3299;"2013-12-31 18:08:00-06";0.290;0;;;;;;;;;;;;;;;;;;;;;;0;;;;;0.290;;;;;;;0;0.027;;;;;;;;;0;;;;;;;;;;;0;0;;;;;;;;;;;0;;
3299;"2013-12-31 18:09:00-06";0.294;0;;;;;;;;;;;;;;;;;;;;;;0;;;;;0.294;;;;;;;0;0.027;;;;;;;;;0;;;;;;;;;;;0;0;;;;;;;;;;;0;;
3299;"2013-12-31 18:10:00-06";0.292;0;;;;;;;;;;;;;;;;;;;;;;0;;;;;0.292;;;;;;;0;0.027;;;;;;;;;0;;;;;;;;;;;0;0;;;;;;;;;;;0;;
3299;"2013-12-31 18:11:00-06";0.294;0;;;;;;;;;;;;;;;;;;;;;;0;;;;;0.294;;;;;;;0;0.027;;;;;;;;;0;;;;;;;;;;;0;0;;;;;;;;;;;0;;
3299;"2013-12-31 18:12:00-06";0.299;0;;;;;;;;;;;;;;;;;;;;;;0;;;;;0.299;;;;;;;0;0.027;;;;;;;;;0;;;;;;;;;;;0;0;;;;;;;;;;;0;;
3299;"2013-12-31 18:13:00-06";0.295;0;;;;;;;;;;;;;;;;;;;;;;0;;;;;0.295;;;;;;;0;0.027;;;;;;;;;0;;;;;;;;;;;0;0;;;;;;;;;;;0;;
3299;"2013-12-31 18:14:00-06";0.296;0;;;;;;;;;;;;;;;;;;;;;;0;;;;;0.296;;;;;;;0;0.027;;;;;;;;;0;;;;;;;;;;;0;0;;;;;;;;;;;0;;
3299;"2013-12-31 18:15:00-06";0.293;0;;;;;;;;;;;;;;;;;;;;;;0;;;;;0.293;;;;;;;0;0.027;;;;;;;;;0;;;;;;;;;;;0;0;;;;;;;;;;;0;;
3299;"2013-12-31 18:16:00-06";0.295;0;;;;;;;;;;;;;;;;;;;;;;0;;;;;0.295;;;;;;;0;0.027;;;;;;;;;0;;;;;;;;;;;0;0;;;;;;;;;;;0;;
3299;"2013-12-31 18:17:00-06";0.297;0;;;;;;;;;;;;;;;;;;;;;;0;;;;;0.297;;;;;;;0;0.027;;;;;;;;;0;;;;;;;;;;;0;0;;;;;;;;;;;0;;
3299;"2013-12-31 18:18:00-06";0.297;0;;;;;;;;;;;;;;;;;;;;;;0;;;;;0.297;;;;;;;0;0.027;;;;;;;;;0;;;;;;;;;;;0;0;;;;;;;;;;;0;;
3299;"2013-12-31 18:19:00-06";0.298;0;;;;;;;;;;;;;;;;;;;;;;0;;;;;0.298;;;;;;;0;0.027;;;;;;;;;0;;;;;;;;;;;0;0;;;;;;;;;;;0;;
3299;"2013-12-31 18:20:00-06";0.358;0;;;;;;;;;;;;;;;;;;;;;;0;;;;;0.358;;;;;;;0;0.027;;;;;;;;;0;;;;;;;;;;;0;0;;;;;;;;;;;0;;
