"localhour";"latitude";"longitude";"tz_offset";"summary";"ozone";"ozone_error";"temperature";"temperature_error";"dew_point";"dew_point_error";"humidity";"humidity_error";"visibility";"visibility_error";"apparent_temperature";"apparent_temperature_error";"pressure";"pressure_error";"wind_speed";"wind_speed_error";"cloud_cover";"cloud_cover_error";"wind_bearing";"precip_intensity";"precip_intensity_error";"precip_probability";"precip_type"
"2013-08-01 00:00:00-05";30.292432;-97.699662;-5;"Clear";;;85.05;;65.79;;0.53;;10;;87.21;;1014.2;;7.01;;0;;178;0;;0;""
"2013-08-01 01:00:00-05";30.292432;-97.699662;-5;"Clear";;;83.24;;66.28;;0.57;;10;;85.56;;1014.5;;3.6;;0;;174;0;;0;""
"2013-08-01 02:00:00-05";30.292432;-97.699662;-5;"Clear";;;81.86;;67.97;;0.63;;10;;84.77;;1014.33;;5.07;;0;;182;0;;0;""
"2013-08-01 03:00:00-05";30.292432;-97.699662;-5;"Clear";;;80.29;;68.38;;0.67;;10;;83.04;;1014.1;;5.92;;0;;196;0;;0;""
"2013-08-01 04:00:00-05";30.292432;-97.699662;-5;"Clear";;;79.03;;68.79;;0.71;;10;;79.03;;1014.6;;5.65;;0;;198;0;;0;""
"2013-08-01 05:00:00-05";30.292432;-97.699662;-5;"Clear";;;77.61;;69.01;;0.75;;10;;77.61;;1014.77;;3.48;;0;;199;0;;0;""
"2013-08-01 06:00:00-05";30.292432;-97.699662;-5;"Clear";;;76.8;;69.37;;0.78;;10;;76.8;;1015.13;;6.49;;0;;210;0;;0;""
"2013-08-01 07:00:00-05";30.292432;-97.699662;-5;"Clear";;;76.52;;69.89;;0.8;;9.85;;76.52;;1015.4;;3.22;;0;;212;0;;0;""
"2013-08-01 08:00:00-05";30.292432;-97.699662;-5;"Clear";;;78.42;;70.73;;0.77;;10;;78.42;;1015.83;;5.46;;0;;209;0;;0;""
"2013-08-01 09:00:00-05";30.292432;-97.699662;-5;"Clear";;;81.93;;70.67;;0.69;;10;;86.06;;1015.97;;6.77;;0;;221;0;;0;""
"2013-08-01 10:00:00-05";30.292432;-97.699662;-5;"Clear";;;86.27;;70.13;;0.59;;10;;91.18;;1015.7;;7.27;;0;;228;0;;0;""
"2013-08-01 11:00:00-05";30.292432;-97.699662;-5;"Clear";;;90.51;;68.68;;0.49;;9.85;;95.08;;1015.83;;7.36;;0;;210;0;;0;""
"2013-08-01 12:00:00-05";30.292432;-97.699662;-5;"Clear";;;92.8;;68.56;;0.45;;10;;97.69;;1015.47;;6.14;;0;;233;0;;0;""
"2013-08-01 13:00:00-05";30.292432;-97.699662;-5;"Clear";;;95.37;;66.44;;0.39;;10;;99.14;;1014.9;;1.41;;0;;169;0;;0;""
"2013-08-01 14:00:00-05";30.292432;-97.699662;-5;"Clear";;;98.8;;64.36;;0.33;;10;;101.79;;1013.93;;4.85;;0;;164;0;;0;""
