dataid,active_record,building_type,program_579,program_baseline,program_energy_internet_demo,program_lg_appliance,program_verizon,program_ccet_group,program_civita_group,city,state,pv,date_enrolled,date_withdrawn,house_construction_year,total_square_footage,first_floor_square_footage,second_floor_square_footage,third_floor_square_footage,half_floor_square_footage,lower_level_square_footage,audit_2011,audit_2013_2014,survey_2011,survey_2012,survey_2013,survey_2014,number_of_nests,indoor_temp_min_time,indoor_temp_max_time,gas_ert_min_time,gas_ert_max_time,water_ert_min_time,water_ert_max_time,water_capstone_min_time,water_capstone_max_time,egauge_min_time,egauge_max_time,air1,air2,air3,airwindowunit1,aquarium1,bathroom1,bathroom2,bedroom1,bedroom2,bedroom3,bedroom4,bedroom5,car1,clotheswasher1,clotheswasher_dryg1,diningroom1,diningroom2,dishwasher1,disposal1,drye1,dryg1,freezer1,furnace1,furnace2,garage1,garage2,gen,grid,heater1,housefan1,icemaker1,jacuzzi1,kitchen1,kitchen2,kitchenapp1,kitchenapp2,lights_plugs1,lights_plugs2,lights_plugs3,lights_plugs4,lights_plugs5,lights_plugs6,livingroom1,livingroom2,microwave1,office1,outsidelights_plugs1,outsidelights_plugs2,oven1,oven2,pool1,poollight1,poolpump1,pump1,range1,refrigerator1,refrigerator2,security1,shed1,sprinkler1,use,utilityroom1,venthood1,waterheater1,waterheater2,winecooler1
18,yes,Single-Family Home,,yes,yes,,,,,Austin,Texas,yes,2/1/11,,2009,1439,1439,0,0,,,yes, ,yes, , , ,,,,4/11/12 18:59,5/10/13 16:29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,yes,Single-Family Home,,yes,yes,,,,,Austin,Texas,,2/1/11,,2008,1240,620,620,0,,,yes, , , , ,yes,,,,4/11/12 18:59,5/10/13 16:29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
114,yes,Single-Family Home,,yes,yes,,,CCET - Pricing Trial,,Austin,Texas,yes,2/1/11,,2008,1842,1379,463,0,,,yes,yes,yes,yes, ,yes,,,,4/11/12 18:59,5/10/13 16:29,,,,,10/15/13 19:00,5/31/15 2:59,yes,,,,,yes,,yes,yes,,,,yes,yes,,,,yes,,yes,,,yes,,,,yes,yes,,,,,,,yes,yes,yes,,,,,,yes,,yes,,,,,,,,,,,yes,,,,,yes,,,,,
370,yes,Single-Family Home,,yes,yes,,,CCET - Pricing Trial,,Austin,Texas,yes,2/1/11,,2007,2680,2680,0,0,,,yes,yes,yes, ,yes, ,,,,4/11/12 18:58,5/10/13 16:29,,,,,7/11/12 0:00,5/31/15 2:38,yes,,,,,yes,,yes,,,,,yes,yes,,yes,yes,yes,,yes,,,yes,,,,yes,yes,,,,,,,yes,yes,yes,yes,yes,,,,yes,yes,yes,,,,,,,,,,yes,yes,,yes,,,yes,,,,,
545,yes,Single-Family Home,,yes,yes,,,CCET - Text Message,,Austin,Texas,yes,2/1/11,,2007,2345,1385,960,0,,,yes,yes,yes, ,yes,yes,,,,4/12/12 18:33,5/10/13 16:03,,,,,8/12/12 19:00,5/31/15 3:59,yes,,,,,yes,,yes,,,,,yes,yes,,,,yes,,,yes,,yes,,,,yes,yes,,,,,,,yes,yes,,,,,,,yes,,yes,,,,yes,,,,,,,yes,,,,,yes,,,,,
585,yes,Single-Family Home,,yes,yes,,,CCET - UT Text,,Austin,Texas,yes,2/1/11,,2008,1720,1720,0,0,,,yes, , ,yes, , ,,,,4/11/12 18:59,5/10/13 16:29,,,,,1/1/12 0:00,5/31/15 3:59,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,
661,yes,Single-Family Home,,yes,yes,,,CCET - Pricing Trial,,Austin,Texas,yes,2/1/11,,2007,1842,1379,463,0,,,yes, ,yes, ,yes,yes,,,,5/25/12 6:30,5/10/13 16:16,,,,,9/7/13 19:00,5/31/15 2:58,yes,,,,,yes,,,,,,,yes,yes,,,,yes,yes,yes,,,yes,,,,yes,yes,,,,,,,yes,yes,,,,,,,,,yes,,,,,,,,,,,yes,,,,,yes,,,,,
744,yes,Single-Family Home,,yes,yes,,,CCET - Text Message,,Austin,Texas,yes,2/1/11,,,2351,,,,,,yes, ,yes, , , ,,,,4/11/12 18:58,5/10/13 16:29,,,,,1/1/12 0:00,5/31/15 2:59,yes,,,,,,,,,,,,,,,,,,,,,,,,,,yes,yes,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,yes,,,,,
964,yes,Single-Family Home,,yes,yes,,,,,Austin,Texas,,2/1/11,,2008,2919,1401,1518,0,,,yes, ,yes, , , ,,,,4/11/12 18:55,5/10/13 14:55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1185,yes,Single-Family Home,,yes,yes,yes,,CCET - Pricing Trial,,Austin,Texas,yes,2/1/11,,2007,2122,1162,960,0,,,yes,yes,yes, , ,yes,2,,,4/11/12 18:41,2/7/14 0:11,5/1/12 12:00,56:00.3,6/21/14 0:00,5/30/15 23:59,5/22/12 19:00,5/31/15 2:59,yes,,,,,yes,,yes,yes,,,,yes,yes,,,,,,yes,yes,,yes,,yes,,yes,yes,,,,,yes,yes,,,,,,,,,yes,,yes,,,,yes,,,,,,,yes,,,,yes,yes,,,,,
