"dataid"	"active_record"	"building_type"	"program_579"	"program_baseline"	"program_energy_internet_demo"	"program_lg_appliance"	"program_verizon"	"program_ccet_group"	"program_civita_group"	"city"	"state"	"pv"	"date_enrolled"	"date_withdrawn"	"house_construction_year"	"total_square_footage"	"first_floor_square_footage"	"second_floor_square_footage"	"third_floor_square_footage"	"half_floor_square_footage"	"lower_level_square_footage"	"audit_2011"	"audit_2013_2014"	"survey_2011"	"survey_2012"	"survey_2013"	"survey_2014"	"number_of_nests"	"indoor_temp_min_time"	"indoor_temp_max_time"	"gas_ert_min_time"	"gas_ert_max_time"	"water_ert_min_time"	"water_ert_max_time"	"water_capstone_min_time"	"water_capstone_max_time"	"egauge_min_time"	"egauge_max_time"	"air1"	"air2"	"air3"	"airwindowunit1"	"aquarium1"	"bathroom1"	"bathroom2"	"bedroom1"	"bedroom2"	"bedroom3"	"bedroom4"	"bedroom5"	"car1"	"clotheswasher1"	"clotheswasher_dryg1"	"diningroom1"	"diningroom2"	"dishwasher1"	"disposal1"	"drye1"	"dryg1"	"freezer1"	"furnace1"	"furnace2"	"garage1"	"garage2"	"gen"	"grid"	"heater1"	"housefan1"	"icemaker1"	"jacuzzi1"	"kitchen1"	"kitchen2"	"kitchenapp1"	"kitchenapp2"	"lights_plugs1"	"lights_plugs2"	"lights_plugs3"	"lights_plugs4"	"lights_plugs5"	"lights_plugs6"	"livingroom1"	"livingroom2"	"microwave1"	"office1"	"outsidelights_plugs1"	"outsidelights_plugs2"	"oven1"	"oven2"	"pool1"	"poollight1"	"poolpump1"	"pump1"	"range1"	"refrigerator1"	"refrigerator2"	"security1"	"shed1"	"sprinkler1"	"use"	"utilityroom1"	"venthood1"	"waterheater1"	"waterheater2"	"winecooler1"
"112"	8092	"yes"	"Single-Family Home"	NA	""	"yes"	""	NA	"CCET - UT Text"	NA	"Austin"	"Texas"	"yes"	"3/19/11"	NA	2006	1828	906	922	0	0	0	" "	" "	"yes"	" "	" "	"yes"	NA	""	""	""	""	""	""	""	""	"2/23/13 18:00"	"5/29/15 20:59"	"yes"	""	""	""	NA	""	""	""	""	""	""	""	""	"yes"	"yes"	""	""	"yes"	"yes"	"yes"	""	""	"yes"	""	""	""	"yes"	"yes"	""	""	""	"yes"	""	""	"yes"	""	""	""	""	""	""	""	""	""	"yes"	""	""	""	""	""	""	""	""	""	""	"yes"	""	""	""	""	"yes"	""	""	""	""	""
"157"	3831	"yes"	"Single-Family Home"	NA	"yes"	"yes"	""	NA	""	NA	"Austin"	"Texas"	""	"9/1/11"	NA	1935	758	758	0	0	NA	NA	"yes"	" "	" "	" "	" "	" "	1	""	""	""	""	""	""	""	""	"3/28/14 0:00"	"5/31/15 2:59"	"yes"	""	""	""	NA	"yes"	""	""	""	""	""	""	""	""	""	""	""	"yes"	""	""	""	""	""	""	"yes"	""	""	"yes"	""	""	""	""	""	""	"yes"	"yes"	""	""	""	""	""	""	"yes"	""	"yes"	""	""	""	"yes"	""	""	""	""	""	""	""	""	""	""	""	"yes"	""	""	""	""	""
"241"	3134	"yes"	"Single-Family Home"	NA	""	"yes"	""	NA	"CCET - Portal Only"	NA	"Austin"	"Texas"	"yes"	"11/22/11"	NA	2008	1240	NA	NA	NA	NA	NA	" "	" "	"yes"	"yes"	" "	" "	NA	""	""	"4/11/12 18:59"	"5/10/13 16:28"	""	""	""	""	"9/17/12 19:00"	"5/31/15 3:59"	"yes"	""	""	""	NA	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"yes"	""	""	""	""	""	""	"yes"	"yes"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"yes"	""	""	""	""	""	"yes"	""	""	""	""	""
"380"	8703	"yes"	"Single-Family Home"	NA	""	"yes"	""	NA	""	NA	"Austin"	"Texas"	""	"8/21/12"	NA	NA	NA	NA	NA	NA	NA	NA	" "	" "	" "	" "	" "	"yes"	NA	""	""	"4/24/12 5:38"	"5/10/13 16:27"	""	""	""	""	""	""	""	""	""	""	NA	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"85"	1600	"yes"	"Single-Family Home"	NA	""	"yes"	""	NA	""	NA	"Austin"	"Texas"	""	"3/19/11"	NA	NA	NA	NA	NA	NA	NA	NA	" "	" "	" "	"yes"	"yes"	"yes"	NA	""	""	""	""	""	""	""	""	""	""	""	""	""	""	NA	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"374"	5636	"yes"	"Single-Family Home"	NA	""	"yes"	""	NA	""	NA	"Austin"	"Texas"	""	"7/23/12"	NA	NA	NA	NA	NA	NA	NA	NA	" "	" "	" "	" "	" "	" "	NA	""	""	"4/11/12 18:59"	"5/10/13 16:29"	""	""	""	""	""	""	""	""	""	""	NA	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"393"	9295	"yes"	"Single-Family Home"	NA	""	"yes"	""	NA	""	NA	"Austin"	"Texas"	""	"8/29/12"	NA	1966	3062	3062	0	0	0	0	" "	" "	" "	" "	" "	" "	1	""	""	"7/30/13 5:15"	"2/7/14 2:05"	""	""	""	""	"8/30/13 19:00"	"5/31/15 2:39"	"yes"	"yes"	""	""	NA	"yes"	""	""	""	""	""	""	""	"yes"	""	""	""	"yes"	""	"yes"	""	""	"yes"	"yes"	""	""	""	"yes"	""	""	""	"yes"	""	""	"yes"	"yes"	""	""	""	""	""	""	"yes"	"yes"	"yes"	""	""	""	"yes"	""	""	""	""	""	""	"yes"	"yes"	""	""	""	"yes"	""	""	""	""	""
"274"	7627	"yes"	"Single-Family Home"	NA	""	"yes"	"yes"	NA	""	NA	"Austin"	"Texas"	"yes"	"11/22/11"	NA	2008	2669	1455	1214	0	0	0	" "	" "	"yes"	" "	" "	"yes"	2	""	""	"4/12/12 18:16"	"5/10/13 15:29"	""	""	""	""	"5/2/12 19:00"	"5/31/15 3:59"	"yes"	""	""	""	NA	"yes"	""	""	""	""	""	""	""	"yes"	""	""	""	"yes"	"yes"	"yes"	""	""	"yes"	""	""	""	"yes"	"yes"	""	""	""	""	""	""	"yes"	"yes"	""	""	""	""	""	""	""	""	"yes"	""	""	""	""	""	""	""	""	""	"yes"	"yes"	""	""	""	""	"yes"	""	"yes"	""	""	""
"260"	5395	"yes"	"Single-Family Home"	NA	""	"yes"	""	NA	"CCET - UT Text"	NA	"Austin"	"Texas"	"yes"	"11/22/11"	NA	2008	1556	NA	NA	NA	NA	NA	" "	" "	"yes"	" "	" "	" "	NA	""	""	"4/11/12 18:59"	"5/10/13 16:29"	""	""	""	""	"11/1/12 19:00"	"5/31/15 2:59"	"yes"	""	""	""	NA	""	""	"yes"	""	""	""	""	""	"yes"	""	""	""	"yes"	"yes"	"yes"	""	""	"yes"	""	""	""	"yes"	"yes"	""	""	""	"yes"	""	""	"yes"	""	"yes"	"yes"	"yes"	""	""	""	""	""	"yes"	""	""	""	""	""	""	""	""	""	""	"yes"	""	""	""	""	"yes"	""	""	""	""	""
"26"	2575	"yes"	"Single-Family Home"	NA	"yes"	"yes"	""	NA	"CCET - Pricing Trial"	NA	"Austin"	"Texas"	"yes"	"2/1/11"	NA	2008	1439	1439	0	0	NA	NA	"yes"	" "	"yes"	"yes"	" "	"yes"	NA	""	""	"4/11/12 18:57"	"5/10/13 16:29"	""	""	""	""	"11/9/12 0:00"	"5/31/15 3:59"	"yes"	""	""	""	NA	""	""	"yes"	"yes"	""	""	""	""	"yes"	""	""	""	"yes"	"yes"	"yes"	""	""	"yes"	""	""	""	"yes"	"yes"	""	""	""	""	""	""	"yes"	"yes"	"yes"	"yes"	""	""	""	""	""	""	"yes"	""	""	""	""	""	""	""	""	""	""	"yes"	""	""	""	""	"yes"	""	""	""	""	""
