dataid,num_residents,CO2_inc_flag
18,2,9
26,4,11
35,4,8
59,2,11
93,2,11
94,2,11
101,3,6
103,2,11
111,4,11
114,4,11
121,4,1
135,4,3
160,2,1
171,4,9
187,3,11
222,5,1
252,4,11
364,2,11
370,2,11
410,2,11
434,4,11
484,0,8
503,3,11
545,2,9
555,3,11
583,3,9
585,1,6
624,4,11
645,1,6
661,2,11
739,1,8
744,2,11
748,3,6
796,4,11
861,4,11
871,4,9
900,5,11
936,5,11
946,1,9
964,5,8
974,3,11
980,2,8
990,3,6
991,4,11
994,2,11
1035,2,11
1039,3,9
1042,3,11
1050,3,11
1069,1,4
1086,1,8
1101,4,11
1103,1,11
1114,2,11
1153,2,9
1169,2,8
1185,3,11
1283,5,11
1310,1,3
1314,1,9
1334,1,8
1415,3,11
1463,1,11
1464,4,11
1500,2,4
1556,2,11
1589,3,11
1600,2,11
1622,1,9
1630,4,11
1632,2,11
1642,3,1
1697,4,11
1700,4,11
1714,2,11
1718,4,11
1782,3,11
1790,2,8
1796,3,9
1800,1,11
1801,3,11
1852,2,11
1953,2,11
1994,2,11
2039,2,11
2062,1,8
2094,5,8
2129,3,8
2149,2,11
2156,2,11
2158,3,9
2171,2,11
2199,2,11
2210,1,6
2233,4,11
2242,2,1
2288,1,6
2323,5,11
2335,4,11
2337,1,6
2345,2,11
2365,4,11
2378,2,11
2401,1,4
2449,1,8
2461,2,8
2470,1,8
2532,2,1
2557,2,11
2575,1,8
2638,3,11
2641,2,11
2645,3,11
2653,1,8
2692,2,11
2742,1,11
2743,3,8
2769,2,11
2792,2,8
2814,2,11
2818,4,11
2829,2,4
2836,2,11
2848,2,8
2859,2,8
2864,2,9
2925,4,11
2946,2,11
2953,2,9
2965,2,9
2980,1,6
2986,2,1
2995,2,11
3009,1,6
3036,3,11
3039,4,9
3044,3,11
3085,2,8
3134,2,8
3146,2,11
3192,2,11
3224,2,11
3235,1,6
3273,1,4
3299,1,6
3301,2,11
3313,2,9
3342,2,11
3367,3,11
3413,2,11
3443,1,4
3456,2,11
3482,1,9
3500,3,11
3504,2,11
3506,2,11
3510,2,8
3527,2,11
3531,2,11
3538,3,8
3544,3,9
3570,1,8
3577,1,11
3635,2,11
3649,5,11
3652,4,11
3719,3,11
3723,2,1
3724,3,8
3736,2,9
3739,2,11
3778,2,8
3805,4,11
3829,2,11
3834,5,8
3849,2,11
3893,2,11
3918,5,11
3935,0,2
3936,1,11
3964,3,11
3967,2,11
4000,1,6
4031,3,9
4135,4,8
4154,2,6
4193,2,9
4213,3,11
4228,3,8
4251,3,11
4297,2,11
4298,2,9
4302,2,11
4336,4,1
4342,3,9
4352,2,11
4357,3,4
4373,4,11
4375,2,11
4395,2,9
4421,1,6
4447,4,11
4473,2,11
4505,2,11
4590,5,8
4633,1,1
4671,2,11
4726,3,11
4732,2,9
4743,3,11
4767,2,11
4874,2,9
4894,3,9
4922,2,11
4946,4,11
4953,2,8
4957,5,11
4998,2,11
5026,2,1
5052,3,8
5077,2,11
5109,0,11
5129,1,9
5209,3,9
5210,2,11
5218,1,11
5246,4,11
5264,4,11
5275,4,11
5317,2,11
5357,4,11
5371,2,11
5395,1,9
5403,1,11
5433,4,11
5438,2,11
5439,1,4
5545,2,11
5568,2,11
5673,5,11
5677,1,8
5738,4,11
5746,4,11
5785,2,9
5796,4,9
5806,2,11
5810,2,9
5814,2,9
5817,4,11
5839,3,11
5874,3,9
5921,2,11
5949,2,11
5972,3,11
6063,1,1
6072,2,9
6088,4,11
6101,1,8
6103,1,6
6121,4,11
6138,5,11
6165,2,11
6246,2,11
6266,2,11
6348,2,11
6394,4,11
6407,4,11
6412,4,9
6418,2,11
6420,2,1
6423,2,11
6424,4,9
6493,3,11
6498,2,11
6524,4,11
6576,4,6
6578,2,11
6636,1,9
6643,4,11
6673,2,11
6685,2,11
6691,2,9
6692,2,11
6730,5,11
6787,2,11
6830,4,11
6836,2,9
6871,3,11
6910,4,11
6941,4,11
6953,1,6
6990,3,11
7016,4,11
7024,2,9
7036,5,11
7057,2,11
7077,4,11
7108,1,6
7113,3,11
7161,1,6
7319,2,11
7321,2,11
7335,3,11
7390,2,11
7429,2,11
7474,3,11
7510,3,11
7531,4,9
7536,2,11
7549,1,3
7560,2,11
7566,3,8
7589,4,11
7597,2,11
7627,3,11
7641,4,11
7680,3,11
7682,2,8
7683,1,11
7731,3,1
7741,2,11
7769,3,9
7788,2,8
7793,2,11
7800,2,11
7813,2,9
7850,5,8
7863,3,11
7866,3,9
7900,2,11
7940,5,11
7951,2,11
7973,5,11
7982,3,11
7989,4,11
8031,3,11
8047,5,1
8071,2,1
8084,3,11
8092,1,11
8142,1,1
8197,2,11
8236,4,11
8243,2,11
8244,2,11
8282,2,11
8292,3,11
8317,2,8
8332,2,11
8386,2,8
8399,3,9
8424,2,11
8467,5,11
8560,3,9
8597,2,2
8600,5,9
8626,2,11
8645,1,11
8669,3,1
8703,3,11
8719,3,11
8741,4,11
8829,4,11
8852,2,8
8872,2,11
8890,3,11
8956,1,6
9019,2,9
9052,4,11
9121,4,11
9134,3,11
9160,1,11
9176,3,1
9195,2,6
9215,2,11
9233,3,11
9248,1,11
9277,3,11
9278,0,11
9343,1,4
9451,2,11
9454,1,6
9484,2,11
9499,2,11
9543,4,9
9578,1,8
9599,2,11
9609,1,9
9620,2,11
9631,3,11
9639,2,9
9643,2,11
9647,4,11
9654,1,9
9699,1,6
9701,1,6
9729,4,11
9737,4,11
9766,3,11
9773,4,11
9875,4,11
9912,1,4
9916,3,9
9917,1,6
9921,2,11
9922,2,11
9923,2,8
9926,2,11
9927,4,11
9929,2,8
9930,2,11
9931,3,4
9932,2,9
9933,5,11
9934,2,11
9936,3,11
9937,2,11
9939,5,11
9940,2,8
9941,2,11
9942,3,11
9956,1,6
9969,3,9
9971,2,11
9982,4,8
