dataid,active_record,building_type,program_579,program_baseline,program_energy_internet_demo,program_lg_appliance,program_verizon,program_ccet_group,program_civita_group,city,state,pv,date_enrolled,date_withdrawn,house_construction_year,total_square_footage,first_floor_square_footage,second_floor_square_footage,third_floor_square_footage,half_floor_square_footage,lower_level_square_footage,audit_2011,audit_2013_2014,survey_2011,survey_2012,survey_2013,survey_2014,number_of_nests,indoor_temp_min_time,indoor_temp_max_time,gas_ert_min_time,gas_ert_max_time,water_ert_min_time,water_ert_max_time,water_capstone_min_time,water_capstone_max_time,egauge_min_time,egauge_max_time,air1,air2,air3,airwindowunit1,aquarium1,bathroom1,bathroom2,bedroom1,bedroom2,bedroom3,bedroom4,bedroom5,car1,clotheswasher1,clotheswasher_dryg1,diningroom1,diningroom2,dishwasher1,disposal1,drye1,dryg1,freezer1,furnace1,furnace2,garage1,garage2,gen,grid,heater1,housefan1,icemaker1,jacuzzi1,kitchen1,kitchen2,kitchenapp1,kitchenapp2,lights_plugs1,lights_plugs2,lights_plugs3,lights_plugs4,lights_plugs5,lights_plugs6,livingroom1,livingroom2,microwave1,office1,outsidelights_plugs1,outsidelights_plugs2,oven1,oven2,pool1,poollight1,poolpump1,pump1,range1,refrigerator1,refrigerator2,security1,shed1,sprinkler1,use,utilityroom1,venthood1,waterheater1,waterheater2,winecooler1,num_residents,profile_type
2743,"",Single-Family Home,"","",yes,"","","","",Austin,Texas,"",2011-02-01,2011-09-01,1949,1590,1590,0,0,,, , ,yes, , , ,,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",,2
1622,"",Town Home,"",yes,yes,"","","","",Austin,Texas,"",2011-02-01,2012-10-01,2008,1576,778,798,0,,,yes, ,yes, , , ,,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",,4
5323,"",Single-Family Home,"",yes,yes,"","","","",Austin,Texas,"",2011-02-01,2011-11-29,2008,1185,602,583,0,,,yes, , , , , ,,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",,2
7982,"",Single-Family Home,"",yes,yes,yes,"",CCET - Pricing Trial,"",Austin,Texas,yes,2011-02-01,2014-11-15,2007,1720,1720,0,0,,,yes,yes,yes, ,yes, ,,2014-02-21 11:04:54-06,2014-11-14 14:59:01-06,2012-04-11 18:59:57-05,2014-02-06 23:18:46-06,2012-05-01 13:00:00-05,2015-05-30 23:53:01.376162-05,"","",2013-02-22 18:00:00-06,2014-11-13 17:59:00-06,yes,"","","","","","",yes,"","","","",yes,yes,"",yes,"",yes,yes,yes,yes,"",yes,"","","",yes,yes,"","","","","","",yes,yes,"","","","","","","","",yes,"","","",yes,"","","","","","",yes,"",yes,"",yes,yes,"",yes,"","","",,2
2836,"",Single-Family Home,"","",yes,"","","","",Austin,Texas,"",2011-02-01,2011-03-19,1994,2796,1476,1320,0,,, , , , ,yes, ,,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",,1
8560,"",Single-Family Home,"",yes,yes,"","","","",Austin,Texas,"",2011-02-01,2012-02-01,2009,2001,1435,566,0,,,yes, ,yes, , , ,,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",,1
3313,"",Single-Family Home,"",yes,yes,"","","","",Austin,Texas,"",2011-02-01,2012-04-30,2007,2001,1435,566,0,,,yes, ,yes, , , ,,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",,1
370,yes,Single-Family Home,"",yes,yes,"","",CCET - Pricing Trial,"",Austin,Texas,yes,2011-02-01,"",2007,2680,2680,0,0,,,yes,yes,yes, ,yes, ,,"","",2012-04-11 18:58:33-05,2013-05-10 16:29:42-05,"","","","",2012-07-11 00:00:00-05,2015-05-31 02:38:00-05,yes,"","","","",yes,"",yes,"","","","",yes,yes,"",yes,yes,yes,"",yes,"","",yes,"","","",yes,yes,"","","","","","",yes,yes,yes,yes,yes,"","","",yes,yes,yes,"","","","","","","","","",yes,yes,"",yes,"","",yes,"","","","","",,1
744,yes,Single-Family Home,"",yes,yes,"","",CCET - Text Message,"",Austin,Texas,yes,2011-02-01,"",,2351,,,,,,yes, ,yes, , , ,,"","",2012-04-11 18:58:50-05,2013-05-10 16:29:11-05,"","","","",2012-01-01 00:00:00-06,2015-05-31 02:59:00-05,yes,"","","","","","","","","","","","","","","","","","","","","","","","","",yes,yes,"","","","","","","","","","","","","","","","","","","","",yes,"","","","","","","","","","","",yes,"","","","","",,1
7057,"",Single-Family Home,"",yes,yes,"","","","",Austin,Texas,"",2011-02-01,2015-02-13,2009,1720,1720,0,0,,,yes, ,yes,yes,yes,yes,,"","",2012-04-11 18:59:45-05,2013-05-10 16:29:58-05,"","","","",2014-06-06 19:00:00-05,2015-01-09 17:59:00-06,yes,"","","","",yes,"","","","","","",yes,yes,"","","",yes,yes,yes,"","",yes,"",yes,"","",yes,"","","","","","",yes,yes,"","","","","","","","",yes,"","","",yes,"","","","","","",yes,"",yes,"",yes,yes,"",yes,"","","",2,2
