"notificationID";"pricingeventID";"notification_time";"notification_type";"notification_notes";"group_name"
162;9;"2013-08-28 17:00:00-05";"Email";"Subject: Alert: a Pecan Street Project critical peak pricing event is taking place tomorrow";"Portal"
168;10;"2013-08-29 17:00:00-05";"Email";"Subject: Alert: a Pecan Street Project critical peak pricing event is taking place tomorrow";"Action"
164;10;"2013-08-29 17:32:00-05";"SMS";"Tomorrow is a Critical Peak Pricing event from 4 p.m. - 7 p.m. Pecan Street Inc.";"General"
106;1;"2013-06-19 17:00:00-05";"Email";"Subject: Alert: a critical peak pricing event is taking place tomorrow";"Portal"
138;6;"2013-07-31 17:00:00-05";"Email";"Subject: Alert: a Pecan Street Project critical peak pricing event is taking place tomorrow";"Pricing"
112;2;"2013-06-25 17:00:00-05";"Email";"Subject: Alert: a Pecan Street Project critical peak pricing event is taking place tomorrow";"Action"
139;6;"2013-07-31 17:00:00-05";"Email";"Subject: Alert: a Pecan Street Project critical peak pricing event is taking place tomorrow";"General"
140;6;"2013-07-31 17:00:00-05";"Email";"Subject: Alert: a Pecan Street Project critical peak pricing event is taking place tomorrow";"Action"
141;6;"2013-07-31 17:00:00-05";"Email";"Subject: Alert: a Pecan Street Project critical peak pricing event is taking place tomorrow";"Portal"
111;2;"2013-06-25 17:00:00-05";"Email";"Subject: Alert: a Pecan Street Project critical peak pricing event is taking place tomorrow";"General"
131;5;"2013-07-25 17:00:00-05";"Email";"Subject: Alert: a Pecan Street Project critical peak pricing event is taking place tomorrow";"Pricing"
110;2;"2013-06-25 17:00:00-05";"Email";"Subject: Alert: a Pecan Street Project critical peak pricing event is taking place tomorrow";"Pricing"
132;5;"2013-07-25 17:00:00-05";"Email";"Subject: Alert: a Pecan Street Project critical peak pricing event is taking place tomorrow";"General"
133;5;"2013-07-25 17:00:00-05";"Email";"Subject: Alert: a Pecan Street Project critical peak pricing event is taking place tomorrow";"Action"
134;5;"2013-07-25 17:00:00-05";"Email";"Subject: Alert: a Pecan Street Project critical peak pricing event is taking place tomorrow";"Portal"
117;3;"2013-06-27 17:00:00-05";"Email";"Subject: Alert: a Pecan Street Project critical peak pricing event is taking place tomorrow";"Pricing"
118;3;"2013-06-27 17:00:00-05";"Email";"Subject: Alert: a Pecan Street Project critical peak pricing event is taking place tomorrow";"General"
119;3;"2013-06-27 17:00:00-05";"Email";"Subject: Alert: a Pecan Street Project critical peak pricing event is taking place tomorrow";"Action"
120;3;"2013-06-27 17:00:00-05";"Email";"Subject: Alert: a Pecan Street Project critical peak pricing event is taking place tomorrow";"Portal"
150;8;"2013-08-07 17:42:00-05";"SMS";"Tomorrow is a Critical Peak Pricing event from 4 p.m. - 7 p.m. Pecan Street Inc.";"General"
152;8;"2013-08-07 17:00:00-05";"Email";"Subject: Alert: a Pecan Street Project critical peak pricing event is taking place tomorrow";"Pricing"
153;8;"2013-08-07 17:00:00-05";"Email";"Subject: Alert: a Pecan Street Project critical peak pricing event is taking place tomorrow";"General"
124;4;"2013-07-23 16:56:00-05";"Email";"Subject: Alert: a Pecan Street Project critical peak pricing event is taking place tomorrow";"Pricing"
125;4;"2013-07-23 16:56:00-05";"Email";"Subject: Alert: a Pecan Street Project critical peak pricing event is taking place tomorrow";"General"
107;2;"2013-06-25 17:37:00-05";"SMS";"Tomorrow is a Critical Peak Pricing event Your experimental electric rate will be $0.64 per kilowatt hour from 4 p.m. - 7 p.m. Pecan Street Inc.";"Pricing"
108;2;"2013-06-25 17:36:00-05";"SMS";"Tomorrow is a Critical Peak Pricing event from 4 p.m. - 7 p.m. Pecan Street Inc.";"General "
109;2;"2013-06-25 17:35:00-05";"SMS";"Critical Peak Pricing event Please do not use your range/oven between the hours of 4 p.m. and 7 p.m. tomorrow. Pecan Street Inc.";"Action"
114;3;"2013-06-27 17:20:00-05";"SMS";"Tomorrow is a Critical Peak Pricing event Your experimental electric rate will be $0.64 per kilowatt hour from 4 p.m. - 7 p.m. Pecan Street Inc.";"Pricing"
100;1;"2013-06-19 16:31:00-05";"SMS";"Tomorrow is a Critical Peak Pricing event Your electric rate will be $0.64 per kilowatt hour from 4:00 pm - 7:00 pm";"Pricing"
101;1;"2013-06-19 16:33:00-05";"SMS";"Tomorrow is a Critical Peak Pricing event from 4:00 pm - 7:00 pm";"General"
102;1;"2013-06-19 16:34:00-05";"SMS";"Critical Peak Pricing event Please do not use your clothes dryer between the hours of 4:00 pm and 7:00 pm tomorrow";"Action"
115;3;"2013-06-27 17:19:00-05";"SMS";"Tomorrow is a Critical Peak Pricing event from 4 p.m. - 7 p.m. Pecan Street Inc.";"General"
116;3;"2013-06-27 17:18:00-05";"SMS";"Critical Peak Pricing event Please ""pre-cool"" your home prior to event; raise your thermostat by 4 degrees between 4 p.m. and 7 p.m. Pecan Street Inc.";"Action"
129;5;"2013-07-25 16:37:00-05";"SMS";"Tomorrow is a Critical Peak Pricing event from 4 p.m. - 7 p.m. Pecan Street Inc.";"General"
130;5;"2013-07-25 16:34:00-05";"SMS";"Critical Peak Pricing event Please do not use your range/oven between the hours of 4 p.m. and 7 p.m. tomorrow. Pecan Street Inc.";"Action"
128;5;"2013-07-25 16:37:00-05";"SMS";"Tomorrow is a Critical Peak Pricing event Your experimental electric rate will be $0.64 per kilowatt hour from 4 p.m. - 7 p.m. Pecan Street Inc.";"Pricing"
137;6;"2013-07-31 17:21:00-05";"SMS";"Critical Peak Pricing event Please ""pre-cool"" your home prior to event; raise your thermostat by 4 degrees between 4 p.m. and 7 p.m. Pecan Street Inc";"Action"
136;6;"2013-07-31 17:21:00-05";"SMS";"Tomorrow is a Critical Peak Pricing event from 4 p.m. - 7 p.m. Pecan Street Inc.";"General"
135;6;"2013-07-31 17:22:00-05";"SMS";"Tomorrow is a Critical Peak Pricing event Your experimental electric rate will be $0.64 per kilowatt hour from 4 p.m. - 7 p.m. Pecan Street Inc.";"Pricing"
169;10;"2013-08-29 17:00:00-05";"Email";"Subject: Alert: a Pecan Street Project critical peak pricing event is taking place tomorrow";"Portal"
161;9;"2013-08-28 17:00:00-05";"Email";"Subject: Alert: a Pecan Street Project critical peak pricing event is taking place tomorrow";"Action"
