"column_name";"field_description"
"response_id";"Response ID"
"start_time";"Date and time at which survey response began"
"date_submitted";"Date Submitted"
"status";"Status"
"survey_language";"Language in which survey was taken"
"longitude";"Longitude"
"latitude";"Latitude"
"country";"Country"
"city";"City"
"state";"State"
"zip_code";"Zip code"
"dataid";"Unique identifier of respondent"
"primary_residence";"Your primary residence is the home where you live for most of the year. Is this your primary residence?"
"move_in_date";"What year did you move into your house?"
"spend_workday_at_home";"Do you or someone else in the household spend a significant portion of the workday (9 a.m. to 5 p.m. Monday-Friday) in the home?"
"hours_per_week_work_at_home";"How many hours a week is someone working from home?"
"ethnicity_asian_pacific_islander";"Asian/Pacific Islander:How would you describe your ethnicity (check all that apply)?"
"ethnicity_black_african_american";"Black/African-American:How would you describe your ethnicity (check all that apply)?"
"ethnicity_caucasian_not_hispanic_or_latino";"Caucasian other than Hispanic or Latino:How would you describe your ethnicity (check all that apply)?"
"ethnicity_hispanic_or_latino";"Hispanic or Latino:How would you describe your ethnicity (check all that apply)?"
"ethnicity_native_american_alaska_native";"Native American/Alaska Native:How would you describe your ethnicity (check all that apply)?"
"ethnicty_other";"Other:How would you describe your ethnicity (check all that apply)?"
"ethnicity_decline_to_respond";"Decline to respond:How would you describe your ethnicity (check all that apply)?"
"num_males";"Males:Including yourself, how many males and females usually live in this home?"
"num_females";"Females:Including yourself, how many males and females usually live in this home?"
"num_age_5_and_under";"Ages 5 and under:For each of the following age groups, how many people, including yourself, usually live in this home?"
"num_age_6_to_12";"Ages 6-12:For each of the following age groups, how many people, including yourself, usually live in this home?"
"num_age_13_to_18";"Ages 13-18:For each of the following age groups, how many people, including yourself, usually live in this home?"
"num_age_19_to_24";"Ages 19-24:For each of the following age groups, how many people, including yourself, usually live in this home?"
"num_age_25_to_34";"Ages 25-34:For each of the following age groups, how many people, including yourself, usually live in this home?"
"num_age_35_to_49";"Ages 35-49:For each of the following age groups, how many people, including yourself, usually live in this home?"
"num_age_50_to_64";"Ages 50-64:For each of the following age groups, how many people, including yourself, usually live in this home?"
"num_age_65_and_older";"Ages 65 and older:For each of the following age groups, how many people, including yourself, usually live in this home?"
"highest_education_level";"What is the highest level of education in your home?"
"annual_income_range";"Please check the range that best describes your household's total annual income."
"energy_audit";"Have you received an energy audit?"
"other_energy_audit";"Yes: we had another audit type of energy audit (please explain):Have you received an energy audit?"
"most_useful";"If you received both audits, which one was more useful?"
"retrofits_since_audit";"Since receiving your energy audit, have you performed any retrofits/upgrades/replacements to your house in order to increase energy efficiency? These could include a higher efficiency AC, added insulation, improved windows, better sealing the building from air leakage, etc."
"audit_that_prompted_retrofit";"If you retrofitted your house, which audit prompted you to act?"
"retrofit_prompt_explanation";"None of the above (please explain):If you retrofitted your house, which audit prompted you to act?"
"reason_for_upgrade_reduce_utility_bills";"Reduce my utility bills:If you have upgraded your house, what were your reasons? Please select all that apply,"
"reason_for_upgrade_conserve_energy_or_water";"Conserve energy and/or water:If you have upgraded your house, what were your reasons? Please select all that apply,"
"reason_for_upgrade_reduce_carbon_footprint";"Reduce my carbon footprint:If you have upgraded your house, what were your reasons? Please select all that apply,"
"reason_for_upgrade_reduce_peak_energy_use";"Reduce my peak energy use:If you have upgraded your house, what were your reasons? Please select all that apply,"
"reason_for_upgrade_reduce_leakage";"Make my house less leaky:If you have upgraded your house, what were your reasons? Please select all that apply,"
"reason_for_upgrade_improve_comfort";"Make my house feel more comfortable:If you have upgraded your house, what were your reasons? Please select all that apply,"
"reason_for_upgrade_improve_resale_value";"Improve the house's resale value:If you have upgraded your house, what were your reasons? Please select all that apply,"
"reason_for_upgrade_better_appliances_or_ac";"I wanted to upgrade to better appliances/air conditioning:If you have upgraded your house, what were your reasons? Please select all that apply,"
"reason_for_upgrade_na";"N/A:If you have upgraded your house, what were your reasons? Please select all that apply,"
"reason_no_upgrade_too_expensive";"Too expensive to be worth it:If you have not upgraded or performed any retrofits to your home based on the audits, why not? Please check all that apply."
"reason_no_upgrade_no_practical_recommendations";"No practical recommendations:If you have not upgraded or performed any retrofits to your home based on the audits, why not? Please check all that apply."
"reason_no_upgrade_insufficient_experience";"Insufficient experience to make home repairs/retrofits:If you have not upgraded or performed any retrofits to your home based on the audits, why not? Please check all that apply."
"reason_no_upgrade_insufficient_knowledge";"Insufficient knowledge about energy efficiency upgrades/retrofitting resources in Austin:If you have not upgraded or performed any retrofits to your home based on the audits, why not? Please check all that apply."
"reason_no_upgrade_too_busy";"Too busy:If you have not upgraded or performed any retrofits to your home based on the audits, why not? Please check all that apply."
"reason_no_upgrade_concerned_about_comfort";"Concerned about house becoming less comfortable:If you have not upgraded or performed any retrofits to your home based on the audits, why not? Please check all that apply."
"reason_no_upgrade_no_interest";"No interest:If you have not upgraded or performed any retrofits to your home based on the audits, why not? Please check all that apply."
"reason_no_upgrade_no_recommendations_in_audit";"No recommendations were made in the audit:If you have not upgraded or performed any retrofits to your home based on the audits, why not? Please check all that apply."
"reason_no_upgrade_na";"N/A:If you have not upgraded or performed any retrofits to your home based on the audits, why not? Please check all that apply."
"type_of_retrofit_energy_star_appliance";"Replaced old appliance(s) with Energy Star rated appliances:What type of retrofit(s) or upgrade(s) did you make? Please check all that apply."
"type_of_retrofit_replaced_windows";"Replaced window(s):What type of retrofit(s) or upgrade(s) did you make? Please check all that apply."
"type_of_retrofit_window_shading";"Window film or window shading on existing windows:What type of retrofit(s) or upgrade(s) did you make? Please check all that apply."
"type_of_retrofit_sealing";"Weatherstripping and/or other sealing to make house less leaky:What type of retrofit(s) or upgrade(s) did you make? Please check all that apply."
"type_of_retrofit_attic_insulation";"Attic insulation:What type of retrofit(s) or upgrade(s) did you make? Please check all that apply."
