"id";"column_name";"field_description"
1;"dataid";"Unique identifier of respondent"
2;"status";"Whether the survey was completely or only partially filled-out"
3;"foundation_pier_beam";"Pier and beam:What type of foundation does your house have? (Check all that apply)"
4;"foundation_slab";"Slab:What type of foundation does your house have? (Check all that apply)"
5;"spend_time_at_home_none";"None:On which days, if any, do you or someone else in the household typically spend a significant portion of the workday or specific workdays (9 a.m. to 5 p.m. Monday-Friday) in the home? (Check all days that apply)"
6;"spend_time_at_home_monday";"Monday:On which days, if any, do you or someone else in the household typically spend a significant portion of the workday or specific workdays (9 a.m. to 5 p.m. Monday-Friday) in the home? (Check all days that apply)"
7;"spend_time_at_home_tuesday";"Tuesday:On which days, if any, do you or someone else in the household typically spend a significant portion of the workday or specific workdays (9 a.m. to 5 p.m. Monday-Friday) in the home? (Check all days that apply)"
8;"spend_time_at_home_wednesday";"Wednesday:On which days, if any, do you or someone else in the household typically spend a significant portion of the workday or specific workdays (9 a.m. to 5 p.m. Monday-Friday) in the home? (Check all days that apply)"
9;"spend_time_at_home_thursday";"Thursday:On which days, if any, do you or someone else in the household typically spend a significant portion of the workday or specific workdays (9 a.m. to 5 p.m. Monday-Friday) in the home? (Check all days that apply)"
10;"spend_time_at_home_friday";"Friday:On which days, if any, do you or someone else in the household typically spend a significant portion of the workday or specific workdays (9 a.m. to 5 p.m. Monday-Friday) in the home? (Check all days that apply)"
11;"ethnicity_asian_pacific_islander";"Asian/Pacific Islander:How would you describe your ethnicity? (Check all that apply)"
12;"ethnicity_black_african_american";"Black/African-American:How would you describe your ethnicity? (Check all that apply)"
13;"ethnicity_caucasian_other_than_hispanic_or_latino";"Caucasian other than Hispanic or Latino:How would you describe your ethnicity? (Check all that apply)"
14;"ethnicity_hispanic_or_latino";"Hispanic or Latino:How would you describe your ethnicity? (Check all that apply)"
15;"ethnicity_native_american_alaska_native";"Native American/Alaska Native:How would you describe your ethnicity? (Check all that apply)"
16;"ethnicity_other";"Other:How would you describe your ethnicity? (Check all that apply)"
17;"ethnicity_decline";"Decline to respond:How would you describe your ethnicity? (Check all that apply)"
18;"residents_under_5";"Ages 5 and under:For each of the following age groups, how many people, including yourself, usually live in this home (for example, children who split time between parents' homes)?"
19;"residents_6_to_12";"Ages 6-12:For each of the following age groups, how many people, including yourself, usually live in this home (for example, children who split time between parents' homes)?"
20;"residents_13_to_18";"Ages 13-18:For each of the following age groups, how many people, including yourself, usually live in this home (for example, children who split time between parents' homes)?"
