dataid,num_residents
35,4
43,1
59,2
94,2
111,4
114,4
121,4
245,2
275,3
298,1
410,2
434,4
469,3
484,5
498,3
503,3
516,2
527,3
545,2
547,4
624,4
661,2
698,4
739,0
754,2
796,4
821,1
825,3
900,5
903,2
936,5
941,5
946,1
974,3
980,2
985,2
990,3
994,2
1010,2
1011,2
1035,2
1039,3
1086,1
1103,1
1146,2
1162,3
1169,2
1185,3
1309,2
1314,1
1334,2
1415,3
1463,1
1499,7
1524,2
1572,2
1600,2
1632,2
1642,3
1697,4
1741,5
1766,6
1792,2
1796,3
1800,1
1852,2
1958,2
2039,2
2094,5
2116,3
2129,3
2149,2
2171,2
2188,2
2198,0
2210,1
2242,2
2257,3
2288,1
2290,1
2314,2
2322,2
2335,4
2345,2
2365,4
2369,3
2378,2
2461,2
2480,2
2485,2
2523,6
2532,2
2534,2
2557,2
2575,1
2638,3
2692,2
2744,2
2769,2
2792,2
2814,2
2818,4
2829,2
2848,2
2858,4
2859,0
2900,2
2902,2
2903,2
2931,2
2953,2
2969,5
2986,2
3009,1
3036,3
3039,4
3044,3
3098,4
3104,2
3221,3
3224,2
3235,1
3353,1
3368,2
3394,2
3413,2
3456,2
3482,1
3500,3
3506,2
3510,2
3531,2
3538,3
3555,3
3578,1
3610,2
3649,5
3731,2
3736,2
3741,5
3778,2
3849,2
3893,2
3922,2
3967,2
4031,3
4062,4
4162,3
4213,3
4228,3
4231,2
4297,2
4304,2
4314,2
4336,4
4342,3
4373,4
4375,2
4447,4
4473,2
4495,2
4499,5
4505,2
4590,5
4601,3
4633,1
4670,2
4761,2
4830,4
4834,2
4894,3
4922,2
4934,1
4944,5
4946,4
4953,2
4956,4
4998,2
5026,2
5109,0
5218,1
5238,2
5246,4
5262,3
5264,4
5271,1
5275,4
5288,1
5317,2
5357,4
5371,2
5400,2
5403,1
5439,1
5448,2
5449,4
5490,4
5511,2
5555,2
5568,2
5610,2
5810,2
5814,2
5850,1
5874,3
5938,1
6057,4
6063,1
6121,4
6139,5
6148,2
6165,2
6233,6
6264,2
6266,2
6348,2
6420,2
6497,3
6498,2
6524,4
6673,2
6691,2
6730,6
6764,5
6800,1
6836,2
6888,2
6910,4
6927,1
6941,4
6953,1
6956,2
6990,3
7001,2
7009,4
7016,4
7037,3
7057,2
7077,4
7090,5
7113,3
7166,2
7321,2
7429,2
7447,2
7474,3
7525,2
7566,3
7617,4
7627,3
7636,3
7645,4
7680,3
7731,3
7769,3
7793,2
7797,2
7800,2
7900,2
7951,2
7973,5
7989,4
8084,3
8092,1
8124,5
8142,1
8185,2
8197,2
8218,1
8243,2
8244,2
8282,2
8292,3
8338,6
8395,1
8519,4
8544,2
8622,2
8626,2
8645,1
8669,3
8693,2
8702,2
8703,3
8731,2
8733,3
8833,3
8862,1
9019,2
9052,4
9080,4
9085,4
9090,5
9143,2
9171,2
9248,1
9432,1
9462,2
9488,3
9543,4
9548,5
9555,5
9578,1
9599,2
9605,2
9609,1
9612,2
9647,4
9648,4
9654,1
9678,3
9688,4
9699,1
9729,4
9737,4
9766,3
9773,4
9775,2
9836,2
9869,3
9916,3
9921,2
9926,2
9932,2
9933,5
9958,2
9983,2
